answerid;gender;age;country;region
978;m;<18;DE;BW
979;m;18-23;DE;HE
983;m;18-23;DE;NI
971;m;18-23;DE;HE
976;m;24-29;DE;NW
978;m;18-23;DE;NI
979;m;24-29;other;other
978;m;18-23;DE;BY
976;m;18-23;DE;NW
971;m;24-29;DE;BB
978;m;18-23;DE;BW
976;m;18-23;DE;SH
976;m;24-29;DE;SH
976;m;24-29;DE;NW
971;w;18-23;DE;BE
971;m;18-23;DE;HB
983;m;18-23;DE;NW
983;m;24-29;DE;BW
983;m;18-23;DE;HE
976;m;24-29;DE;NW
978;m;18-23;DE;BW
976;m;18-23;DE;BB
976;m;18-23;DE;NW
976;m;18-23;DE;SL
979;m;18-23;DE;BW
983;m;18-23;DE;NI
976;m;18-23;DE;RP
983;m;18-23;DE;ST
983;m;18-23;DE;BW
976;m;18-23;DE;NI
971;m;18-23;DE;BE
971;m;18-23;DE;SH
971;m;18-23;DE;SH
976;m;18-23;DE;RP
971;m;24-29;DE;SH
976;m;18-23;DE;BW
983;m;18-23;DE;SH
976;m;18-23;DE;NI
976;w;18-23;DE;ST
979;m;18-23;DE;BE
971;w;24-29;DE;NW
978;m;18-23;other;other
971;m;18-23;DE;BB
978;m;24-29;DE;BW
983;m;30-38;DE;MV
983;m;18-23;DE;SN
978;m;24-29;DE;NW
983;m;18-23;DE;NI
976;m;18-23;DE;HE
983;m;18-23;DE;NW
983;m;24-29;DE;NW
971;m;24-29;DE;HE
983;m;18-23;DE;NI
971;m;30-38;DE;NW
971;m;18-23;DE;BY
983;m;18-23;DE;NI
978;m;18-23;DE;BW
971;m;24-29;DE;HE
971;m;18-23;DE;NW
976;m;24-29;DE;BW
983;m;30-38;DE;BW
976;m;24-29;DE;SN
971;m;24-29;DE;NI
983;m;18-23;DE;NW
971;m;18-23;DE;HH
971;m;18-23;DE;NI
976;m;18-23;DE;BY
976;m;18-23;DE;BW
971;m;18-23;DE;NW
976;m;24-29;DE;SL
976;m;18-23;DE;BY
978;m;24-29;DE;SN
976;m;24-29;AT;OÖ
979;m;18-23;DE;NW
978;m;18-23;DE;SN
979;m;<18;DE;NW
976;m;18-23;DE;NW
983;m;18-23;DE;BW
971;m;18-23;DE;NI
979;m;30-38;DE;SN
983;m;18-23;AT;SBG
979;m;18-23;DE;NW
971;m;24-29;DE;NI
976;m;30-38;DE;SH
971;w;24-29;DE;BW
978;m;18-23;DE;NI
971;m;18-23;DE;BW
976;m;30-38;CH;ZH
971;m;18-23;DE;BW
976;m;18-23;DE;RP
978;m;18-23;DE;NI
979;m;18-23;DE;HE
978;m;30-38;DE;NW
976;m;24-29;DE;NI
983;m;24-29;DE;HE
979;m;30-38;DE;BW
976;m;18-23;DE;SN
983;m;18-23;DE;NW
971;m;18-23;DE;TH
983;m;30-38;DE;RP
978;m;24-29;DE;NW
979;m;18-23;DE;NW
983;w;18-23;DE;NI
971;m;49-55;DE;BW
971;m;18-23;DE;NI
979;m;30-38;DE;BY
983;m;24-29;DE;NW
983;m;18-23;DE;NW
983;m;18-23;DE;SN
976;m;24-29;DE;HE
976;m;18-23;DE;HH
976;m;24-29;DE;NI
978;m;24-29;DE;HE
983;m;49-55;DE;BY
978;m;18-23;DE;NW
976;m;18-23;DE;HE
978;m;24-29;DE;NW
976;m;24-29;DE;HE
971;m;24-29;DE;NI
971;w;<18;DE;NI
976;m;24-29;DE;HE
971;m;18-23;DE;BE
983;m;24-29;DE;BW
983;m;18-23;AT;W
971;m;18-23;DE;SL
983;m;18-23;DE;HE
971;m;18-23;DE;BY
978;m;24-29;DE;BE
971;m;24-29;other;other
983;m;24-29;DE;SN
976;m;18-23;DE;NW
971;m;24-29;DE;BW
971;m;18-23;DE;BY
978;m;18-23;DE;HB
983;m;18-23;DE;RP
983;m;18-23;DE;ST
978;m;24-29;DE;SH
971;m;18-23;DE;HB
971;m;18-23;DE;BW
983;w;24-29;DE;SN
983;m;18-23;DE;HE
